Date,Cobre,Zinco,Aluminio,Chumbo,Estanho,Niquel,Dolar
2017-10-24,7073.5,3265.0,2144.0,2504.0,19835.0,11950.0,3.2344000339508
2017-10-25,6970.5,3251.5,2149.5,2485.5,19850.0,11860.0,3.2425999641418
2017-10-26,6965.0,3301.0,2175.0,2492.0,20200.0,11845.0,3.2311999797821
2017-10-27,6831.5,3201.0,2119.0,2431.0,19800.0,11370.0,3.2864999771118
2017-10-30,6823.0,3270.5,2143.0,2414.0,19910.0,11500.0,3.2348001003265
2017-10-31,6802.0,3320.0,2140.0,2421.0,19505.0,11850.0,3.2873001098633
2017-11-01,6918.0,3332.0,2188.0,2452.0,19700.0,12695.0,3.2695999145508
2017-11-02,6855.0,3272.0,2152.0,2466.0,19500.0,12630.0,3.2662000656128
2017-11-03,6914.5,3265.5,2165.0,2475.0,19700.0,12560.0,3.2646000385284
2017-11-06,6902.5,3290.0,2152.0,2490.0,19600.0,12830.0,3.2925999164581
2017-11-07,6863.0,3259.0,2131.0,2483.0,19580.0,12805.0,3.2479000091553
2017-11-08,6812.0,3235.5,2103.5,2499.0,19550.0,12565.0,3.2701001167297
2017-11-09,6777.0,3232.0,2078.0,2504.0,19475.0,12230.0,3.2513000965118
2017-11-10,6797.0,3289.5,2090.0,2547.0,19700.0,12285.0,3.2486999034882
2017-11-13,6768.0,3244.0,2100.0,2502.0,19385.0,12280.0,3.2764000892639
2017-11-14,6822.5,3224.0,2085.0,2477.0,19550.0,12255.0,3.275899887085
2017-11-15,6715.5,3190.5,2082.0,2420.0,19590.0,11580.0,3.3118999004364
2017-11-16,6764.0,3206.0,2106.0,2424.0,19750.0,11570.0,
2017-11-17,6728.5,3199.5,2077.0,2409.0,19560.0,11470.0,
2017-11-20,6752.0,3199.5,2067.5,2429.5,19555.0,11510.0,3.2523999214172
