Date,Cobre,Zinco,Aluminio,Chumbo,Estanho,Niquel,Dolar
2017-10-02,6455.0,3235.5,2067.0,2538.0,20875.0,10375.0,3.1633999347687
2017-10-03,6447.0,3324.0,2114.5,2501.0,20950.0,10555.0,3.152899980545
2017-10-04,6453.0,3370.0,2139.5,2585.0,20950.0,10640.0,3.1407999992371
2017-10-05,6511.0,3350.0,2124.0,2548.0,21245.0,10560.0,3.133199930191
2017-10-06,6639.0,3336.0,2121.5,2539.5,21085.0,10500.0,3.1524000167847
2017-10-09,6607.0,3334.5,2135.0,2515.0,20950.0,10770.0,3.1554999351501
2017-10-10,6641.0,3314.0,2133.0,2509.0,21100.0,10910.0,3.1868000030518
2017-10-11,6685.0,3306.0,2124.0,2525.0,20810.0,10980.0,3.1777999401093
2017-10-12,6813.0,3333.0,2117.5,2568.5,20900.0,11195.0,3.1696999073029
2017-10-13,6858.0,3325.0,2140.0,2542.0,20925.0,11605.0,3.1689999103546
2017-10-16,7063.0,3321.0,2144.0,2566.0,20825.0,11790.0,3.1461999416351
2017-10-17,7046.0,3130.0,2111.0,2496.0,20775.0,11675.0,3.1703000068665
2017-10-18,6971.5,3185.0,2106.5,2493.0,20050.0,11745.0,3.1561000347137
2017-10-19,6920.0,3170.0,2128.5,2491.0,20100.0,11680.0,3.1700999736786
2017-10-20,7008.5,3208.0,2159.0,2502.0,19925.0,12050.0,3.1649000644684
2017-10-23,6959.0,3176.0,2133.5,2472.0,19750.0,11745.0,3.1909000873566
2017-10-24,7073.5,3265.0,2144.0,2504.0,19835.0,11950.0,3.2344000339508
2017-10-25,6970.5,3251.5,2149.5,2485.5,19850.0,11860.0,3.2425999641418
2017-10-26,6965.0,3301.0,2175.0,2492.0,20200.0,11845.0,3.2311999797821
2017-10-27,6831.5,3201.0,2119.0,2431.0,19800.0,11370.0,3.2864999771118
2017-10-30,,,,,,,3.2864999771118
