Date,Cobre,Zinco,Aluminio,Chumbo,Estanho,Niquel,Dolar
2012-01-03,7661.0,1827.0,2006.0,1994.5,19450.0,18430.0,1.8701000213623
2012-01-04,7652.0,1844.5,2052.0,2043.0,19675.0,18705.0,1.8344999551773
2012-01-05,7471.0,1835.5,2003.5,2015.5,19415.0,18590.0,1.8184000253677
2012-01-06,7515.0,1827.5,2020.0,1975.5,19750.0,18680.0,1.8430000543594
2012-01-09,7503.0,1855.0,2061.5,1942.5,20100.0,18855.0,1.8475999832153
2012-01-10,7641.0,1912.5,2138.0,1999.0,20075.0,19425.0,1.8409999608994
2012-01-11,7689.5,1910.0,2134.5,1968.5,20300.0,19360.0,1.7990000247955
2012-01-12,7946.0,1945.0,2157.5,2000.0,21100.0,19575.0,1.8035000562668
2012-01-13,7965.5,1943.0,2110.0,2004.0,21090.0,19630.0,1.7809000015259
2012-01-16,8021.0,1948.0,2121.0,1989.0,20900.0,19270.0,1.7907999753952
2012-01-17,8185.0,2000.0,2171.5,2046.0,21600.0,19480.0,1.7792999744415
2012-01-18,8156.0,1997.5,2175.0,2092.0,21600.0,19460.0,1.7795000076294
2012-01-19,8350.5,2011.5,2181.0,2131.5,22000.0,19680.0,1.7683000564575
2012-01-20,8230.5,1995.5,2184.0,2130.5,21850.0,20155.0,1.755499958992
2012-01-23,8333.0,2015.5,2193.5,2178.0,21935.0,20620.0,1.7601000070572
2012-01-24,8267.0,2052.5,2190.5,2216.0,21860.0,20295.0,1.7519999742508
2012-01-25,8271.0,2095.5,2186.0,2196.0,22005.0,20510.0,1.7583999633789
2012-01-26,8560.0,2178.5,2232.0,2277.0,23330.0,21350.0,1.7599999904633
2012-01-27,8610.0,2178.5,2241.5,2288.0,24310.0,21670.0,1.852499961853
2012-01-30,8399.0,2095.5,2210.5,2238.0,24050.0,21370.0,1.7380000352859
2012-01-31,8485.5,2126.0,2257.5,2251.0,24290.0,21150.0,1.7462999820709
2012-02-01,8351.5,2091.5,2219.5,2210.0,24060.0,20870.0,1.7447999715805
2012-02-02,8339.0,2093.0,2201.0,2184.0,24100.0,20905.0,1.7316999435425
2012-02-03,8320.0,2088.0,2159.0,2147.0,24000.0,20780.0,1.7180999517441
2012-02-06,8463.0,2120.0,2175.5,2165.5,24375.0,21105.0,1.7152999639511
2012-02-07,8335.5,2082.0,2173.0,2126.0,24250.0,21300.0,1.7237000465393
2012-02-08,8586.0,2129.0,2236.5,2190.5,25650.0,21830.0,1.7246999740601
2012-02-09,8520.5,2108.0,2232.5,2141.5,25160.0,21350.0,1.7184000015259
2012-02-10,8591.0,2112.5,2218.5,2169.0,25500.0,21050.0,1.715499997139
2012-02-13,8512.0,2087.5,2207.5,2127.5,25325.0,20980.0,1.7187999486923
2012-02-14,8405.0,2021.5,2163.5,2076.0,24800.0,20205.0,1.7151999473572
2012-02-15,8395.5,2016.5,2174.0,2048.5,24535.0,20350.0,1.7160999774933
2012-02-16,8209.5,1951.0,2117.0,1985.0,24005.0,19755.0,1.7276999950409
2012-02-17,8370.0,1963.5,2127.5,2029.0,24200.0,19735.0,1.715499997139
2012-02-20,8234.0,1951.0,2130.5,2028.0,23550.0,19600.0,1.7093000411987
2012-02-21,8325.0,2006.5,2175.5,2057.0,23750.0,19990.0,1.7172000408173
2012-02-22,8391.0,2007.0,2212.0,2070.0,23950.0,20100.0,1.7144999504089
2012-02-23,8408.0,2037.0,2229.0,2114.0,24035.0,20000.0,1.7051000595093
2012-02-24,8441.0,2061.0,2253.0,2153.5,24100.0,19905.0,1.7128000259399
